Experiment,Architectures,Total Params,GFLOPS,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
1,4,81,1.0328277084804324e-07,1.394230604171753,0.5883290634785084,0.471674417768315,0.4979581915472008,0.5883290634785084
1,5,100,6.102918537617386e-08,2.949408531188965,0.7024765157984628,0.6381177719288457,0.621536967079999,0.7024765157984628
1,6,119,7.453411238623193e-08,2.898001909255981,0.603928266438941,0.5722425889822323,0.6621707594452747,0.603928266438941
1,7,138,9.660155923975957e-08,2.6086535453796387,0.6792485055508113,0.5975738141792697,0.6588117562757809,0.6792485055508113
1,8,157,9.612747311722709e-08,2.996021747589112,0.707884998576715,0.6591688070318817,0.660679690939159,0.707884998576715
1,9,176,1.7976739463214317e-07,1.802329063415528,0.647423854255622,0.5788445173388735,0.5757031265120182,0.647423854255622
1,10,195,1.4726126710762657e-07,2.4446346759796143,0.6691716481639625,0.575207813207069,0.5262686234044578,0.6691716481639625
1,11,214,1.635030298293261e-07,2.421973466873169,0.6963279248505551,0.6404056639371092,0.6283637653341425,0.6963279248505551
1,12,233,3.641878275187286e-07,1.186201095581055,0.6746939937375462,0.6121475701863717,0.579235848013015,0.6746939937375462
1,13,252,3.018048584060388e-07,1.550670862197876,0.7103330486763451,0.658158063341188,0.6403340062919061,0.7103330486763451
1,14,271,1.609218570334227e-07,3.131954908370972,0.6955878166808995,0.6040702768740025,0.7761947221616086,0.6955878166808995
1,15,290,1.447727002086523e-07,3.729984998703003,0.7411329348135497,0.7092340597849134,0.7283440674820614,0.7411329348135497
1,16,309,4.560725859294254e-07,1.2629568576812744,0.7118701964133219,0.6568401503374519,0.6925568080558201,0.7118701964133219
2,4,81,1.2659135821565602e-07,1.1375184059143066,0.5910048391688016,0.4618013911428332,0.5002109257700136,0.5910048391688016
2,5,100,1.4669710037157384e-07,1.227018117904663,0.6236834614289781,0.5584653883503824,0.5876870669868193,0.6236834614289781
2,6,119,1.882109254491505e-07,1.147648572921753,0.6931966979789354,0.6203245064283406,0.6548073275207265,0.6931966979789354
2,7,138,1.3212799168353325e-07,1.907241582870484,0.6936521491602619,0.6236819693735706,0.6034215160920453,0.6936521491602619
2,8,157,1.5391007782912248e-07,1.8712224960327148,0.6277255906632507,0.5429248064675409,0.65392001703615,0.6277255906632507
2,9,176,1.304061087759629e-07,2.484546184539795,0.6507258753202391,0.5621310686179292,0.5351329555000616,0.6507258753202391
2,10,195,4.068896101166384e-07,0.884760856628418,0.680273270708796,0.6060486350056051,0.5715411489654234,0.680273270708796
2,11,214,3.070496191052264e-07,1.289693832397461,0.6816965556504412,0.604947707756908,0.6307492575882878,0.6816965556504412
2,12,233,1.1248900932541522e-07,3.8403751850128174,0.7687446626814688,0.7330678657950845,0.7484621455944713,0.7687446626814688
2,13,252,2.394205939829871e-07,1.954719066619873,0.7088528323370339,0.6537775990703723,0.7183487869646603,0.7088528323370339
2,14,271,1.840381049987346e-07,2.738563299179077,0.6825505266154284,0.6080045338069894,0.5884442951800597,0.6825505266154284
2,15,290,3.441783003587325e-07,1.5689542293548584,0.6765157984628523,0.6334153033350813,0.6487608995593188,0.6765157984628523
2,16,309,3.226589785070673e-07,1.7851665019989014,0.7214916026188443,0.6763352345747473,0.6917655217267025,0.7214916026188443
3,4,81,1.6819034660902705e-07,0.8561728000640869,0.3601480216339311,0.2268775183329474,0.3410758556523513,0.3601480216339311
3,5,100,6.641019918888881e-08,2.710427045822144,0.7146598348989468,0.6339630694676895,0.641517454005846,0.7146598348989468
3,6,119,4.212577419745272e-08,5.127502202987671,0.7152860802732707,0.6761604999458372,0.7000828987617859,0.7152860802732707
3,7,138,1.5878998997651574e-07,1.5870018005371094,0.716709365214916,0.6542752927871556,0.6584607091841705,0.716709365214916
3,8,157,2.713317109789249e-07,1.0614314079284668,0.627042413891261,0.5543610960284253,0.5629595869973474,0.627042413891261
3,9,176,2.641060984120649e-07,1.2267796993255615,0.6482208938229433,0.5809117810700548,0.576519982076167,0.6482208938229433
3,10,195,2.0596528727595242e-07,1.7478673458099363,0.741929974380871,0.6894235254271268,0.6638126110040903,0.741929974380871
3,11,214,8.976905416027835e-08,4.411319732666016,0.7566752063763166,0.7087199598778381,0.809095619753739,0.7566752063763166
3,12,233,2.1828677071616245e-07,1.9790480136871336,0.7272416737830913,0.6866412629168287,0.6744383781639954,0.7272416737830913
3,13,252,2.0235073577005602e-07,2.3128159046173096,0.7651010532308569,0.7211556260211771,0.7655049697867334,0.7651010532308569
3,14,271,1.6072864795917206e-07,3.1357197761535645,0.7167662966125818,0.6733767706965627,0.677928703955413,0.7167662966125818
3,15,290,2.5947637861036525e-07,2.0811142921447754,0.6996868773128381,0.6673269229822741,0.6747809556823127,0.6996868773128381
3,16,309,3.190369073090158e-07,1.805433750152588,0.6881867349843439,0.6086887106028224,0.6703014664908916,0.6881867349843439
