Architectures,Total Params,GFLOPS,Training Time (sec),Test Accuracy,Test F1 Weightet,Test Precision Weighted,Test Recall Weighted
4,81,1.40414257285336e-07 ± 6.316606186147317e-08,1 ± 1,0.56827 ± 0.078062,0.501183 ± 0.109419,0.524693 ± 0.118847,0.56827 ± 0.078062
5,100,9.649972482514664e-08 ± 3.3922678348982996e-08,2 ± 1,0.689249 ± 0.04715,0.626269 ± 0.055661,0.653909 ± 0.13487,0.689249 ± 0.04715
6,119,1.9407405267175112e-07 ± 9.758517339912455e-08,1 ± 1,0.545631 ± 0.172367,0.482793 ± 0.150858,0.478103 ± 0.167265,0.545631 ± 0.172367
7,138,1.670836601355985e-07 ± 7.876569543352125e-08,2 ± 1,0.665604 ± 0.062106,0.59813 ± 0.07067,0.579309 ± 0.103055,0.665604 ± 0.062106
8,157,1.3081954646788009e-07 ± 5.189400670601304e-08,3 ± 1,0.722384 ± 0.061917,0.667223 ± 0.096691,0.668651 ± 0.105625,0.722384 ± 0.061917
9,176,2.3824095225658627e-07 ± 1.2230962129229325e-07,2 ± 1,0.619015 ± 0.076969,0.543704 ± 0.110095,0.572581 ± 0.137578,0.619015 ± 0.076969
10,195,1.519133202197062e-07 ± 2.963352048775205e-08,2 ± 0,0.688585 ± 0.001997,0.617328 ± 0.001923,0.629968 ± 0.038228,0.688585 ± 0.001997
11,214,2.1408376726861202e-07 ± 6.838716118306753e-08,2 ± 1,0.705057 ± 0.053902,0.651287 ± 0.067505,0.633288 ± 0.079862,0.705057 ± 0.053902
12,233,1.8882237075334175e-07 ± 3.1130587480482245e-08,2 ± 0,0.715798 ± 0.006225,0.641768 ± 0.005172,0.668118 ± 0.00989,0.715798 ± 0.006225
13,252,2.3037256576168165e-07 ± 5.881186439376294e-08,2 ± 1,0.716728 ± 0.039294,0.65679 ± 0.056961,0.653334 ± 0.040903,0.716728 ± 0.039294
14,271,2.910999226461182e-07 ± 6.834120478949927e-08,2 ± 0,0.732935 ± 0.02357,0.68231 ± 0.027017,0.712799 ± 0.075761,0.732935 ± 0.02357
15,290,2.780355860883663e-07 ± 1.7413986951987645e-07,3 ± 2,0.728077 ± 0.025813,0.698414 ± 0.03677,0.692724 ± 0.04219,0.728077 ± 0.025813
16,309,2.7509807505306383e-07 ± 1.9293745513091e-08,2 ± 0,0.723617 ± 0.014291,0.658973 ± 0.019786,0.682832 ± 0.037071,0.723617 ± 0.014291
